step,naive,arima_v3,arima_statsmodels,gbm,exponential
1,4.013139518,4.017653383966533,4.013139531113849,3.970029063516886,4.013139518
2,4.013139518,4.021978609047982,4.013129531113849,3.972023518826226,4.019956580149841
3,4.013139518,4.027472115413672,4.013119531113849,3.9721740847644975,4.032000322607269
4,4.013139518,4.034350967888778,4.013109531113849,3.9712205312036155,4.0409980107662165
5,4.013139518,4.039992368893984,4.013099531113848,3.9725377480979467,4.001662783606535
6,4.013139518,4.046468014469563,4.013089531113849,3.9738086528592724,4.009799761138765
7,4.013139518,4.056593556695488,4.013079531113848,3.977182001924659,4.052729690540039
8,4.013139518,4.0687975008214785,4.013069531113849,3.973959732224442,4.059298419438229
9,4.013139518,4.079780412472558,4.013059531113849,3.9738588550315264,4.065959134519701
10,4.013139518,4.091279494562936,4.0130495311138485,3.9729629923302894,4.222775501373987
11,4.013139518,4.106220012905634,4.012607701798971,3.968633141820181,4.081996512413478
12,4.013139518,4.125352648778144,4.0125977017989705,3.971832677743405,4.11996154907563
13,4.013139518,4.149408978199691,4.012587701798971,3.9728291799201,4.118803050114155
14,4.013139518,4.176458760525592,4.01257770179897,3.9783983638452507,4.107964938583744
15,4.013139518,4.2060353928818515,4.012567701798971,3.9731948897991893,4.0476212846312905
16,4.013139518,4.244822323073153,4.012557701798971,3.974223923444705,4.130682513424866
17,4.013139518,4.296625547272474,4.012547701798971,3.9731785204669086,4.016007564546753
18,4.013139518,4.365073711558847,4.012537701798971,3.9702691070202834,4.061781833718567
19,4.013139518,4.4525132041810425,4.0125277017989704,3.974641050799096,4.04231060740214
20,4.013139518,4.5613715403035355,4.012517701798971,3.974924422102303,4.097857363275167
21,4.013139518,4.709074092970279,4.012264048633284,3.974859261383315,4.325635256020849
22,4.013139518,4.911239708643749,4.0122540486332845,3.9708825973521598,3.902200723530717
23,4.013139518,5.183688071922488,4.012244048633285,3.9763727267883806,4.177850453262799
24,4.013139518,5.546053745769624,4.012234048633284,3.9696346534152456,3.9210018689671147
25,4.013139518,6.025310578079618,4.012224048633285,3.973667406884955,4.053938834453346
26,4.013139518,6.669435279699907,4.012214048633284,3.9781939047832844,4.250800053627346
27,4.013139518,7.531446497660482,4.012204048633285,3.9712845094206153,4.1271523127178416
28,4.013139518,8.676849825309688,4.012194048633284,3.9707987989740503,3.9774191611252108
29,4.013139518,10.19154578268164,4.0121840486332845,3.973273848067687,4.026895101555417
30,4.013139518,12.186044000363573,4.012174048633285,3.9715250603384336,4.229706332068191
31,4.013139518,14.861972776953111,4.011836453339491,3.9680078919018342,4.025740828373565
32,4.013139518,18.49259310543524,4.011826453339491,3.972643280182356,4.172982200339472
33,4.013139518,23.413019058872823,4.011816453339491,3.9702928258778556,4.15086204445783
34,4.013139518,30.074335982676214,4.011806453339491,3.9737603504699726,4.040200063268332
35,4.013139518,39.09106448482676,4.011796453339492,3.970688576696908,4.516332329929221
36,4.013139518,51.47166416062004,4.011786453339491,3.977393130871144,4.266949525484311
37,4.013139518,68.6252661349008,4.0117764533394915,3.9713300299119982,3.7956440446768682
38,4.013139518,92.38950007484858,4.011766453339491,3.9721204243280765,4.198823928217855
39,4.013139518,125.31436634179568,4.011756453339491,3.974913539130416,4.042754781559504
40,4.013139518,170.94428774392756,4.011746453339491,3.9699795398827145,4.338887204360625
41,4.013139518,235.0946775915823,4.0113004646511925,3.97258341132155,4.018331219092897
42,4.013139518,326.15871817314286,4.011290464651193,3.9767160376214825,4.157491231645502
43,4.013139518,455.4457534172894,4.011280464651192,3.9688759468065764,4.291240542934258
44,4.013139518,639.0468960959422,4.011270464651193,3.9726465761731347,4.375515774309285
45,4.013139518,899.867574241125,4.011260464651192,3.9739550643619506,3.929502576418001
46,4.013139518,1275.9611540383526,4.011250464651193,3.9753119653364166,4.122498575692028
47,4.013139518,1823.7582780095813,4.011240464651192,3.969085817266815,4.092721693542978
48,4.013139518,2621.791026371145,4.0112304646511925,3.969017313743274,4.052628704570284
49,4.013139518,3784.691048382555,4.011220464651193,3.9739645116087057,4.634076252966795
50,4.013139518,5479.86555424655,4.011210464651192,3.9737529427631335,4.3137981217200645
51,4.013139518,7989.943504430923,4.010710461879466,3.9734298231075895,3.903571191553404
52,4.013139518,11745.224220231741,4.010700461879465,3.97446249670099,4.4570657688162685
53,4.013139518,17364.29809067645,4.010690461879466,3.971486595094328,4.778994594512904
54,4.013139518,25774.383441260426,4.010680461879465,3.9732741791272277,4.505064511318961
55,4.013139518,38365.9578113986,4.0106704618794655,3.9737160401414835,3.8254627876825964
56,4.013139518,57528.34897255522,4.010660461879466,3.970694510111567,4.1067640011304505
57,4.013139518,86997.73911414645,4.010650461879465,3.9782234405293058,4.598903421312092
58,4.013139518,132323.99367762028,4.010640461879466,3.9751966885820895,4.046726670138025
59,4.013139518,202056.2598693169,4.010630461879465,3.9693490170089096,4.381368514469623
60,4.013139518,309369.7020330855,4.010620461879466,3.974415184962096,4.485430586949177
61,4.013139518,477336.8643042556,4.00995765195067,3.970212850542643,3.9830913132552848
62,4.013139518,743032.6814699394,4.009947651950671,3.97440631105393,4.247276391584589
63,4.013139518,1163366.720433839,4.009937651950671,3.9765218000160183,3.264904181387208
64,4.013139518,1828491.8560116815,4.009927651950671,3.9710943958962743,3.951284646845128
65,4.013139518,2881282.990320387,4.009917651950671,3.975617997448906,4.197418912173483
66,4.013139518,4552078.149091451,4.0099076519506704,3.9749045679532276,3.876989427201337
67,4.013139518,7199510.912760557,4.009897651950671,3.975664744221806,4.825497210598693
68,4.013139518,11379451.129665747,4.00988765195067,3.9791013789659995,3.811990920164741
69,4.013139518,17965535.22232687,4.009877651950671,3.973049591192158,4.14576424458636
70,4.013139518,28331392.202118237,4.009867651950671,3.97000454336059,4.344780248597099
71,4.013139518,44724296.656712964,4.009115021387193,3.9692363702434057,4.808420075355971
72,4.013139518,70646758.02865963,4.009105021387193,3.96927960445633,3.798547334938311
73,4.013139518,111492235.71733376,4.009095021387193,3.9713802706841186,4.731325627781405
74,4.013139518,175720500.53631198,4.009085021387193,3.9738449431475726,4.320634330954774
75,4.013139518,276606428.426219,4.009075021387193,3.974316156333254,3.958057962058564
76,4.013139518,436049118.53272116,4.009065021387193,3.976403337011069,4.498826181957979
77,4.013139518,688213703.6505648,4.009055021387193,3.9738094556069647,4.40550560080628
78,4.013139518,1085580883.804167,4.009045021387193,3.9783223811267048,4.103109281698712
79,4.013139518,1710472060.541385,4.009035021387193,3.9724842489521186,4.36574978533036
80,4.013139518,2692070270.5380387,4.009025021387193,3.9823824395719614,4.190666628396041
81,4.013139518,4245569306.947166,4.0082250204338,3.9758665378031197,4.392615302756092
82,4.013139518,6707726769.26481,4.008215020433799,3.970027447298505,4.619718496201272
83,4.013139518,10595784619.561375,4.0082050204338,3.9679383069567447,5.006174023212862
84,4.013139518,16722778890.61129,4.0081950204338,3.9740708286685806,3.8465696037087183
85,4.013139518,26367218279.061646,4.0081850204338,3.9710054531181327,5.260497316113213
86,4.013139518,41682283743.576454,4.0081750204338,3.97490738862073,3.5393506072592764
87,4.013139518,66054688789.513954,4.0081650204337995,3.975243659006904,4.308089319113094
88,4.013139518,104698424927.93834,4.0081550204338,3.9735140112511456,4.633648251709164
89,4.013139518,165842742729.62244,4.008145020433799,3.9696196758210953,4.505744418958675
90,4.013139518,262481131057.71188,4.0081350204338,3.96697387770677,4.109388818832252
91,4.013139518,416757028074.17444,4.007235020143696,3.9701847766961125,4.297221582596793
92,4.013139518,663745199684.7618,4.007225020143696,3.975512305483679,4.1709520465830545
93,4.013139518,1057704129642.8054,4.007215020143696,3.9739386542875805,4.128554951130339
94,4.013139518,1684788404321.2776,4.0072050201436955,3.9686045430006947,4.799127377178778
95,4.013139518,2681853400601.3184,4.007195020143696,3.973748997532255,4.576263742869637
96,4.013139518,4285083937494.0107,4.007185020143696,3.9748150129165145,4.08374287318172
97,4.013139518,6871932769287.27,4.007175020143696,3.9693213396574083,4.849095746069421
98,4.013139518,11030514033691.65,4.007165020143696,3.9729017349668663,4.570745361292476
99,4.013139518,17702098221420.26,4.007155020143696,3.9736408778990295,4.824429236992079
100,4.013139518,28393766959082.234,4.007145020143696,3.968310685638693,4.7422192023119365
