step,naive,arima_v3,arima_statsmodels,gbm
1,4.013139518,4.017156669813522,4.013139531113849,4.013139518
2,4.013139518,4.021173821166642,4.0131395376204795,4.013139518
3,4.013139518,4.025190972519797,4.0131395376204955,4.013139518
4,4.013139518,4.0292081238729525,4.013139537620501,4.013139518
5,4.013139518,4.0332252752261075,4.013139537620501,4.013139518
6,4.013139518,4.037242426579263,4.013139537620501,4.013139518
7,4.013139518,4.041259577932418,4.013139537620501,4.013139518
8,4.013139518,4.045276729285573,4.013139537620501,4.013139518
9,4.013139518,4.049293880638728,4.013139537620501,4.013139518
10,4.013139518,4.053311031991883,4.013139537620501,4.013139518
11,4.013139518,4.057328183345038,4.013139537620501,4.013139518
12,4.013139518,4.061345334698193,4.013139537620501,4.013139518
13,4.013139518,4.065362486051348,4.013139537620501,4.013139518
14,4.013139518,4.069379637404503,4.013139537620501,4.013139518
15,4.013139518,4.073396788757658,4.013139537620501,4.013139518
16,4.013139518,4.077413940110813,4.013139537620501,4.013139518
17,4.013139518,4.081431091463968,4.013139537620501,4.013139518
18,4.013139518,4.085448242817123,4.013139537620501,4.013139518
19,4.013139518,4.089465394170278,4.013139537620501,4.013139518
20,4.013139518,4.093482545523433,4.013139537620501,4.013139518
21,4.013139518,4.097499696876588,4.013139537620501,4.013139518
22,4.013139518,4.1015168482297435,4.013139537620501,4.013139518
23,4.013139518,4.1055339995828986,4.013139537620501,4.013139518
24,4.013139518,4.109551150936054,4.013139537620501,4.013139518
25,4.013139518,4.113568302289209,4.013139537620501,4.013139518
26,4.013139518,4.117585453642364,4.013139537620501,4.013139518
27,4.013139518,4.121602604995519,4.013139537620501,4.013139518
28,4.013139518,4.125619756348674,4.013139537620501,4.013139518
29,4.013139518,4.129636907701829,4.013139537620501,4.013139518
30,4.013139518,4.133654059054984,4.013139537620501,4.013139518
31,4.013139518,4.137671210408139,4.013139537620501,4.013139518
32,4.013139518,4.141688361761294,4.013139537620501,4.013139518
33,4.013139518,4.145705513114449,4.013139537620501,4.013139518
34,4.013139518,4.149722664467604,4.013139537620501,4.013139518
35,4.013139518,4.153739815820759,4.013139537620501,4.013139518
36,4.013139518,4.157756967173914,4.013139537620501,4.013139518
37,4.013139518,4.161774118527069,4.013139537620501,4.013139518
38,4.013139518,4.165791269880224,4.013139537620501,4.013139518
39,4.013139518,4.1698084212333795,4.013139537620501,4.013139518
40,4.013139518,4.1738255725865345,4.013139537620501,4.013139518
41,4.013139518,4.17784272393969,4.013139537620501,4.013139518
42,4.013139518,4.181859875292845,4.013139537620501,4.013139518
43,4.013139518,4.185877026646,4.013139537620501,4.013139518
44,4.013139518,4.189894177999155,4.013139537620501,4.013139518
45,4.013139518,4.19391132935231,4.013139537620501,4.013139518
46,4.013139518,4.197928480705465,4.013139537620501,4.013139518
47,4.013139518,4.20194563205862,4.013139537620501,4.013139518
48,4.013139518,4.205962783411775,4.013139537620501,4.013139518
49,4.013139518,4.20997993476493,4.013139537620501,4.013139518
50,4.013139518,4.213997086118085,4.013139537620501,4.013139518
51,4.013139518,4.21801423747124,4.013139537620501,4.013139518
52,4.013139518,4.222031388824395,4.013139537620501,4.013139518
53,4.013139518,4.22604854017755,4.013139537620501,4.013139518
54,4.013139518,4.230065691530705,4.013139537620501,4.013139518
55,4.013139518,4.23408284288386,4.013139537620501,4.013139518
56,4.013139518,4.2380999942370154,4.013139537620501,4.013139518
57,4.013139518,4.2421171455901705,4.013139537620501,4.013139518
58,4.013139518,4.246134296943326,4.013139537620501,4.013139518
59,4.013139518,4.250151448296481,4.013139537620501,4.013139518
60,4.013139518,4.254168599649636,4.013139537620501,4.013139518
61,4.013139518,4.258185751002791,4.013139537620501,4.013139518
62,4.013139518,4.262202902355946,4.013139537620501,4.013139518
63,4.013139518,4.266220053709101,4.013139537620501,4.013139518
64,4.013139518,4.270237205062256,4.013139537620501,4.013139518
65,4.013139518,4.274254356415411,4.013139537620501,4.013139518
66,4.013139518,4.278271507768566,4.013139537620501,4.013139518
67,4.013139518,4.282288659121721,4.013139537620501,4.013139518
68,4.013139518,4.286305810474876,4.013139537620501,4.013139518
69,4.013139518,4.290322961828031,4.013139537620501,4.013139518
70,4.013139518,4.294340113181186,4.013139537620501,4.013139518
71,4.013139518,4.298357264534341,4.013139537620501,4.013139518
72,4.013139518,4.302374415887496,4.013139537620501,4.013139518
73,4.013139518,4.306391567240651,4.013139537620501,4.013139518
74,4.013139518,4.3104087185938065,4.013139537620501,4.013139518
75,4.013139518,4.3144258699469615,4.013139537620501,4.013139518
76,4.013139518,4.318443021300117,4.013139537620501,4.013139518
77,4.013139518,4.322460172653272,4.013139537620501,4.013139518
78,4.013139518,4.326477324006427,4.013139537620501,4.013139518
79,4.013139518,4.330494475359582,4.013139537620501,4.013139518
80,4.013139518,4.334511626712737,4.013139537620501,4.013139518
81,4.013139518,4.338528778065892,4.013139537620501,4.013139518
82,4.013139518,4.342545929419047,4.013139537620501,4.013139518
83,4.013139518,4.346563080772202,4.013139537620501,4.013139518
84,4.013139518,4.350580232125357,4.013139537620501,4.013139518
85,4.013139518,4.354597383478512,4.013139537620501,4.013139518
86,4.013139518,4.358614534831667,4.013139537620501,4.013139518
87,4.013139518,4.362631686184822,4.013139537620501,4.013139518
88,4.013139518,4.366648837537977,4.013139537620501,4.013139518
89,4.013139518,4.370665988891132,4.013139537620501,4.013139518
90,4.013139518,4.374683140244287,4.013139537620501,4.013139518
91,4.013139518,4.3787002915974425,4.013139537620501,4.013139518
92,4.013139518,4.3827174429505975,4.013139537620501,4.013139518
93,4.013139518,4.386734594303753,4.013139537620501,4.013139518
94,4.013139518,4.390751745656908,4.013139537620501,4.013139518
95,4.013139518,4.394768897010063,4.013139537620501,4.013139518
96,4.013139518,4.398786048363218,4.013139537620501,4.013139518
97,4.013139518,4.402803199716373,4.013139537620501,4.013139518
98,4.013139518,4.406820351069528,4.013139537620501,4.013139518
99,4.013139518,4.410837502422683,4.013139537620501,4.013139518
100,4.013139518,4.414854653775838,4.013139537620501,4.013139518
