Model,Column,MAE,RMSE,Max_Error,Min_Error,Success_Rate,Duration_Seconds,Error,Filename
naive,1,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,1,0.3635627671572686,0.5700821608286865,2.570830649213163,1.0182089366095326e-08,1.0,0.926458,,arima_statsmodels_column_1_results.csv
naive,2,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,2,,,,,0.0,0.0,ARIMA forecasting failed at step 46: Forecast 0.43734621094598225 too extreme using AR(10),
naive,3,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,3,0.11623697698911023,0.15839641249128697,0.42935129124106564,0.00012109997581588594,1.0,0.914055,,arima_statsmodels_column_3_results.csv
naive,4,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,4,0.8928160669736406,1.090373043979134,1.9517030735738836,4.964246650064619e-06,1.0,0.907771,,arima_statsmodels_column_4_results.csv
naive,5,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,5,,,,,0.0,0.0,ARIMA forecasting failed at step 72: Forecast 0.043541305198178115 too extreme using AR(8),
naive,6,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,6,,,,,0.0,0.0,ARIMA forecasting failed at step 89: Forecast 0.32815375066690144 too extreme using AR(5),
naive,7,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,7,,,,,0.0,0.0,ARIMA forecasting failed at step 101: Forecast 6.936300553500104 too extreme using AR(6),
naive,8,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,8,,,,,0.0,0.0,ARIMA forecasting failed at step 60: Forecast 6.945619750283889 too extreme using AR(10),
naive,9,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,9,,,,,0.0,0.0,ARIMA forecasting failed at step 208: Forecast 0.5657684285937592 too extreme using AR(10),
naive,10,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,10,,,,,0.0,0.0,ARIMA forecasting failed at step 118: Forecast -0.31137064699791495 too extreme using AR(5),
naive,11,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,11,,,,,0.0,0.0,ARIMA forecasting failed at step 49: Forecast 5.529434491258712 too extreme using AR(9),
naive,12,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,12,,,,,0.0,0.0,ARIMA forecasting failed at step 83: Forecast 1.6512346464057783 too extreme using AR(10),
naive,13,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,13,,,,,0.0,0.0,ARIMA forecasting failed at step 71: Forecast 1.471955723180848 too extreme using AR(5),
naive,14,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,14,,,,,0.0,0.0,ARIMA forecasting failed at step 119: Forecast -0.39276260330028856 too extreme using AR(4),
naive,15,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,15,,,,,0.0,0.0,ARIMA forecasting failed at step 30: Forecast 0.017212035123367997 too extreme using AR(10),
naive,16,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,16,,,,,0.0,0.0,ARIMA forecasting failed at step 71: Forecast 43.15708633593637 too extreme using AR(6),
naive,17,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,17,0.13812639210033015,0.1763101174396265,0.3766895415321459,8.198624526520315e-05,1.0,0.920765,,arima_statsmodels_column_17_results.csv
naive,18,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,18,,,,,0.0,0.0,ARIMA forecasting failed at step 58: Forecast 854.6044722266599 too extreme using AR(7),
naive,19,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,19,4369411.837894026,14175224.622141417,90378390.38814671,4.711165956378105e-07,1.0,0.923466,,arima_statsmodels_column_19_results.csv
naive,20,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,20,,,,,0.0,0.0,ARIMA forecasting failed at step 69: Forecast -0.19374913804430854 too extreme using AR(9),
naive,21,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,21,,,,,0.0,0.0,ARIMA forecasting failed at step 124: Forecast -0.18138112494708053 too extreme using AR(6),
naive,22,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,22,,,,,0.0,0.0,ARIMA forecasting failed at step 93: Forecast -2.6320964794045185 too extreme using AR(3),
naive,23,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,23,0.07763024963914897,0.10276240610672983,0.25005540448906594,1.3367372952641232e-07,1.0,0.905139,,arima_statsmodels_column_23_results.csv
naive,24,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,24,,,,,0.0,0.0,ARIMA forecasting failed at step 82: Forecast 1.0021190539618574 too extreme using AR(10),
naive,25,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,25,0.6076997393314398,1.200595395663252,5.2912079665802425,5.755869345331482e-06,1.0,0.929079,,arima_statsmodels_column_25_results.csv
naive,26,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,26,,,,,0.0,0.0,ARIMA forecasting failed at step 71: Forecast -0.07151468926856491 too extreme using AR(10),
naive,27,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,27,1.38207762067471,1.7262895734409844,3.181393399314337,5.556765803049757e-08,1.0,0.918546,,arima_statsmodels_column_27_results.csv
naive,28,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,28,,,,,0.0,0.0,ARIMA forecasting failed at step 46: Forecast 0.719583810643811 too extreme using AR(8),
naive,29,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,29,317.6634483265846,725.0086443316776,3281.493736937484,0.00012997022777262723,1.0,0.925166,,arima_statsmodels_column_29_results.csv
naive,30,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,30,0.05578186396023992,0.06694752550231294,0.12803405055158987,1.1617606124995905e-05,1.0,0.910896,,arima_statsmodels_column_30_results.csv
naive,31,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,31,0.1332784065887107,0.29511221613659605,1.136506197301681,2.4518231761527787e-05,1.0,0.90541,,arima_statsmodels_column_31_results.csv
naive,32,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,32,,,,,0.0,0.0,ARIMA forecasting failed at step 44: Forecast -0.06007304461155627 too extreme using AR(9),
naive,33,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,33,,,,,0.0,0.0,ARIMA forecasting failed at step 65: Forecast -49.68802264967807 too extreme using AR(10),
naive,34,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,34,,,,,0.0,0.0,ARIMA forecasting failed at step 30: Forecast -0.18175573183462967 too extreme using AR(9),
naive,35,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,35,0.11784324796367827,0.1372968567222028,0.2839197454205352,5.54442203245251e-06,1.0,0.90905,,arima_statsmodels_column_35_results.csv
naive,36,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,36,,,,,0.0,0.0,ARIMA forecasting failed at step 62: Forecast -0.6503900641892599 too extreme using AR(4),
naive,37,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,37,,,,,0.0,0.0,ARIMA forecasting failed at step 37: Forecast -4.810373324144546 too extreme using AR(9),
naive,38,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,38,3662.529058099385,9449.19597071509,48190.93100794679,2.0543812165318975e-08,1.0,0.901338,,arima_statsmodels_column_38_results.csv
naive,39,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,39,9643.353675836548,26014.67914972907,138664.8299310953,5.89585248955693e-08,1.0,0.908117,,arima_statsmodels_column_39_results.csv
naive,40,,,,,0.0,0.0,"not enough values to unpack (expected 4, got 3)",
arima_statsmodels,40,0.2740262058752063,0.45493264535008693,1.155332751894731,4.888245021955617e-08,1.0,0.927341,,arima_statsmodels_column_40_results.csv
